Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090217,0.652329018,0.29537456,-0.470335282,-1.050866406,1.787391579,-0.963095542,1.33035509,-0.396301189,0.193688048,0.616933193,-0.231061231,1.714138363,0.503524673,-0.48531158,-0.801531816,-0.183546687,-1.026243635,0.422019923
20090216,1.123479695,0.498957873,-0.321478802,1.170615846,0.471726051,-0.221107237,1.402867913,-0.095194825,0.665213901,1.286742035,0.397680199,1.226836486,1.651854265,0.18102824,-0.140071592,0.558447705,-0.452312251,0.272204623
20090213,-2.2172949,-1.006627485,0.309035942,-2.087486157,-0.996920174,1.844794734,-0.647527647,-0.394362555,-1.09466281,-1.669496321,-0.412541254,-0.377958263,-0.453934874,-0.257944697,-0.19084393,-0.560026354,-0.077924102,-1.381560678
20090212,0.501392758,-0.892303879,-0.581084691,0.333333333,0.109186754,-0.892703863,0.576928411,-0.488934637,1.444188723,0.182237881,-0.328947368,-2.067837541,-0.212618442,-0.681457191,-0.726984337,0.127226463,-0.811562838,0.511723111
20090211,1.778350515,1.714357746,-0.590930217,2.610876753,0.02962095,-1.596418616,0.17170864,0.199832399,0.567063997,2.138484447,0.42946812,-1.855798049,2.823059741,0.530544968,0.026442784,1.105288232,-0.223644636,2.620900368
20090210,0.742587111,-0.644999687,0.006640106,0.700344432,0.150811133,-0.687861757,0.073961618,-0.410862169,-0.242438236,-0.296931706,-0.981354269,-0.646922196,0.795209581,-0.113192015,-0.366646175,0.066742944,-0.315190652,0.775367839
20090209,-0.772916989,-0.199987501,0.319744205,0.045945325,1.570421755,2.150814053,1.937008945,1.472216794,-1.26524564,-1.766326365,1.225165563,0.54411578,-1.211490228,1.055477565,1.628809853,0.406873773,1.65676774,-1.837086478
20090206,-1.846044912,1.227304359,0.623366177,-0.842824601,0.700620085,1.442976356,-0.37105437,-0.687915121,-0.068344914,-1.394159709,-0.527009223,-0.301066501,-0.574036607,-0.47606727,-0.060207381,-0.670406999,-0.257229714,-0.409183905
20090205,-1.169649105,-0.759668508,0.154403867,-1.35939782,-0.655262048,0.665033252,-0.194466991,-0.24094312,-1.270805218,-1.153010859,0.613090307,0.159047435,-0.401150966,-0.134359981,0.149627049,-0.199297713,0.08581682,-1.357798449
20090204,-0.531994233,-0.809565326,-0.013424621,-1.417654225,0.399567768,-0.643366371,-0.634588134,-0.049454921,-1.626286094,-0.365882446,-1.421104214,0.041928721,-0.756236861,-0.539679276,-0.33164912,-0.302772258,-0.241263912,-0.532229905
20090203,-1.008957575,1.312302839,0.174825175,-0.049814579,-0.055830972,0.859347597,0.125618982,0.808514328,1.09042107,-0.458194635,2.340354397,0.73426687,0.694047675,0.578990902,0.69028889,-0.268931352,0.697492163,-0.492109412
